Frequenz (Hz)	Pegel (dB)
2044,921875	-87,764297
2047,851562	-87,471436
2050,781250	-86,008850
2053,710938	-79,230728
2056,640625	-81,612099
2059,570312	-88,200279
2062,500000	-88,146736
2065,429688	-88,689651
2068,359375	-88,941208
2071,289062	-88,322098
2074,218750	-88,374413
2077,148438	-87,651299
2080,078125	-87,751999
2083,007812	-88,727219
2085,937500	-89,196777
2088,867188	-87,416946
2091,796875	-87,635849
2094,726562	-88,056694
2097,656250	-87,486618
2100,585938	-84,222252
2103,515625	-76,975891
2106,445312	-78,440964
2109,375000	-87,471649
2112,304688	-87,750336
2115,234375	-87,296303
2118,164062	-87,595802
2121,093750	-87,681511
2124,023438	-87,792732
2126,953125	-87,982063
2129,882812	-86,969734
2132,812500	-88,123032
2135,742188	-88,174950
2138,671875	-87,978653
2141,601562	-88,841415
2144,531250	-89,259598
2147,460938	-88,656052
2150,390625	-85,799782
2153,320312	-75,497704
2156,250000	-75,715599
2159,179688	-86,516495
2162,109375	-88,231911
2165,039062	-87,939148
2167,968750	-88,798149
2170,898438	-88,595566
2173,828125	-87,076881
2176,757812	-86,194664
2179,687500	-86,698624
2182,617188	-87,892395
2185,546875	-89,047791
2188,476562	-87,638252
2191,406250	-86,945374
2194,335938	-87,958496
2197,265625	-87,724136
2200,195312	-85,971291
2203,125000	-82,020805
2206,054688	-81,421371
2208,984375	-87,144302
2211,914062	-87,715851
2214,843750	-88,597610
2217,773438	-88,523643
2220,703125	-88,159882
2223,632812	-87,291145
2226,562500	-87,582932
2229,492188	-88,134659
2232,421875	-87,650383
2235,351562	-87,770119
2238,281250	-86,914993
2241,210938	-87,424683
2244,140625	-87,363815
2247,070312	-87,016190
2250,000000	-87,572914
2252,929688	-79,644753
2255,859375	-77,343376
2258,789062	-84,877914
2261,718750	-85,415627
2264,648438	-85,183350
2267,578125	-86,057365
2270,507812	-88,295815
2273,437500	-87,512672
2276,367188	-87,394867
2279,296875	-87,980194
2282,226562	-86,176247
2285,156250	-85,018478
2288,085938	-85,430885
2291,015625	-85,702576
2293,945312	-87,944321
2296,875000	-86,997047
2299,804688	-85,793976
2302,734375	-80,214294
2305,664062	-76,714043
2308,593750	-81,475967
2311,523438	-83,689743
2314,453125	-86,433014
2317,382812	-87,114319
2320,312500	-85,785950
2323,242188	-86,076797
2326,171875	-87,038849
2329,101562	-86,090881
2332,031250	-86,924919
2334,960938	-88,119179
2337,890625	-86,022881
2340,820312	-86,451187
2343,750000	-88,072823
2346,679688	-88,576736
2349,609375	-88,569717
2352,539062	-82,650536
2355,468750	-77,900276
2358,398438	-84,322441
2361,328125	-89,529861
2364,257812	-89,078964
2367,187500	-89,028305
2370,117188	-88,338135
2373,046875	-87,796082
2375,976562	-88,546272
2378,906250	-89,194756
2381,835938	-89,799171
2384,765625	-88,374596
2387,695312	-87,479294
2390,625000	-87,473557
2393,554688	-88,342384
2396,484375	-88,937233
2399,414062	-88,833405
2402,343750	-84,642944
2405,273438	-79,131386
2408,203125	-84,279549
2411,132812	-89,494858
2414,062500	-88,975166
2416,992188	-87,792084
2419,921875	-88,471230
2422,851562	-88,883270
2425,781250	-89,249512
2428,710938	-89,240540
2431,640625	-88,711967
2434,570312	-88,780449
2437,500000	-89,010551
2440,429688	-88,863457
2443,359375	-89,098160
2446,289062	-88,388290
2449,218750	-89,231743
2452,148438	-83,410454
2455,078125	-76,203789
2458,007812	-80,815659
2460,937500	-89,798317
2463,867188	-89,487900
2466,796875	-89,344704
2469,726562	-90,052612
2472,656250	-89,796631
2475,585938	-90,255844
2478,515625	-89,320694
2481,445312	-89,494652
2484,375000	-89,492569
2487,304688	-88,927658
2490,234375	-87,867027
2493,164062	-89,295944
2496,093750	-89,563263
2499,023438	-89,437889
2501,953125	-85,943848
2504,882812	-78,769104
2507,812500	-82,126373
2510,742188	-89,609230
2513,671875	-89,183846
2516,601562	-89,468086
2519,531250	-89,989792
2522,460938	-89,319725
2525,390625	-89,159569
2528,320312	-89,354836
2531,250000	-89,487236
2534,179688	-89,208916
2537,109375	-89,268402
2540,039062	-89,531273
2542,968750	-89,843544
2545,898438	-89,469246
2548,828125	-89,652390
2551,757812	-88,239258
2554,687500	-81,145798
2557,617188	-83,040390
2560,546875	-89,686058
2563,476562	-89,738861
2566,406250	-89,246552
2569,335938	-89,381790
2572,265625	-89,748894
2575,195312	-89,908302
2578,125000	-89,627174
2581,054688	-89,299263
2583,984375	-88,869637
2586,914062	-89,425804
2589,843750	-90,267387
2592,773438	-89,725174
2595,703125	-89,842697
2598,632812	-89,818207
2601,562500	-88,642937
2604,492188	-80,231102
2607,421875	-81,112427
2610,351562	-89,583374
2613,281250	-90,422966
2616,210938	-90,559464
2619,140625	-90,260780
2622,070312	-89,654922
2625,000000	-89,328667
2627,929688	-89,506714
2630,859375	-89,664970
2633,789062	-90,220436
2636,718750	-90,175461
2639,648438	-90,304771
2642,578125	-89,758186
2645,507812	-89,926979
2648,437500	-89,359634
2651,367188	-89,158165
2654,296875	-81,845161
2657,226562	-81,319626
2660,156250	-88,713806
2663,085938	-90,589966
2666,015625	-89,974731
2668,945312	-89,507950
2671,875000	-90,602478
2674,804688	-90,171799
2677,734375	-90,262672
2680,664062	-89,652641
2683,593750	-89,879128
2686,523438	-89,719917
2689,453125	-89,656090
2692,382812	-89,215065
2695,312500	-89,657814
2698,242188	-89,804916
